
Tokens obtidos na análise léxica:

-------------------------------------------------
|  Token    |           Tipo            | Linha |
-------------------------------------------------
|  #include | Palavra reservada         |   0   |
|         < | Delimitador               |   0   |
|   stdio.h | Biblioteca                |   0   |
|         > | Delimitador               |   0   |
|         / | Operador aritmético       |   0   |
|         / | Operador aritmético       |   0   |
|declaracao | Identificador             |   0   |
|        de | Identificador             |   0   |
|biblioteca | Identificador             |   0   |
|     float | Palavra reservada         |   2   |
|      soma | Identificador de função   |   2   |
|         ( | Delimitador               |   2   |
|     float | Palavra reservada         |   2   |
| operando1 | Identificador             |   2   |
|         , | Separador                 |   2   |
|     float | Palavra reservada         |   2   |
| operando2 | Identificador             |   2   |
|         ) | Delimitador               |   2   |
|         { | Delimitador               |   2   |
|    return | Palavra reservada         |   3   |
| operando1 | Identificador             |   3   |
|         + | Operador aritmético       |   3   |
| operando2 | Identificador             |   3   |
|         ; | Delimitador               |   3   |
|         } | Delimitador               |   4   |
|     float | Palavra reservada         |   5   |
| subtracao | Identificador de função   |   5   |
|         ( | Delimitador               |   5   |
|     float | Palavra reservada         |   5   |
| operando1 | Identificador             |   5   |
|         , | Separador                 |   5   |
|     float | Palavra reservada         |   5   |
| operando2 | Identificador             |   5   |
|         ) | Delimitador               |   5   |
|         { | Delimitador               |   5   |
|    return | Palavra reservada         |   6   |
| operando1 | Identificador             |   6   |
|         - | Operador aritmético       |   6   |
| operando2 | Identificador             |   6   |
|         ; | Delimitador               |   6   |
|         } | Delimitador               |   7   |
|     float | Palavra reservada         |   8   |
|   divisao | Identificador de função   |   8   |
|         ( | Delimitador               |   8   |
|     float | Palavra reservada         |   8   |
| operando1 | Identificador             |   8   |
|         , | Separador                 |   8   |
|     float | Palavra reservada         |   8   |
| operando2 | Identificador             |   8   |
|         ) | Delimitador               |   8   |
|         { | Delimitador               |   8   |
|    return | Palavra reservada         |   9   |
| operando1 | Identificador             |   9   |
|         / | Operador aritmético       |   9   |
| operando2 | Identificador             |   9   |
|         ; | Delimitador               |   9   |
|         } | Delimitador               |  10   |
|     float | Palavra reservada         |  11   |
|multiplicacao | Identificador de função   |  11   |
|         ( | Delimitador               |  11   |
|     float | Palavra reservada         |  11   |
